Name,QTY,Cost(AUD),Cost(USD),Link
3s 2.2AH LiPo,1,$47.19,,https://www.amazon.com.au/gp/product/B09NXM2DW4/ref=sw_img_1?smid=A3S3YJCXW342CA&psc=1
ESP32 Dev Board,2,$7.39,,https://www.aliexpress.com/item/1005008499671222.html?spm=a2g0o.cart.0.0.440338dajzfCE9&mp=1&pdp_npi=5%40dis%21AUD%21AUD%207.95%21AUD%207.39%21%21AUD%207.25%21%21%21%402103273e17519916653746516e9cc4%2112000045428891808%21ct%21AU%216138339337%21%211%210
Buck Converter,1,$1.47,,https://www.aliexpress.com/item/1005006365697021.html?spm=a2g0o.cart.0.0.7b7238daocpVDw&mp=1&pdp_npi=5%40dis%21AUD%21AUD%201.52%21AUD%201.47%21%21AUD%201.47%21%21%21%402101c80017519920616365587e7ede%2112000036911557265%21ct%21AU%216138339337%21%211%210
Steel Rods,1,$13.59,,https://www.aliexpress.com/item/1005005041338002.html?spm=a2g0o.cart.0.0.7b7238daocpVDw&mp=1&pdp_npi=5%40dis%21AUD%21AUD%2013.59%21AUD%2013.59%21%21AUD%2013.59%21%21%21%402101c80017519920616365587e7ede%2112000031424484647%21ct%21AU%216138339337%21%211%210
775 12V DC Motor,2,$31.40,20.2,https://www.aliexpress.com/item/1005006573459459.html?spm=a2g0o.cart.0.0.7c6438da8p7SyB&mp=1&pdp_npi=5%40dis%21AUD%21AUD%2015.69%21AUD%2015.69%21%21AUD%2015.69%21%21%21%402103244417540105652123591ed7b3%2112000037708674071%21ct%21AU%216138339337%21%212%210
BTS7960 Motor Driver,2,$15.00,9.65,https://www.aliexpress.com/item/1005007091280016.html?spm=a2g0o.cart.0.0.7c6438da8p7SyB&mp=1&pdp_npi=5%40dis%21AUD%21AUD%207.49%21AUD%207.49%21%21AUD%207.49%21%21%21%402103244417540105652123591ed7b3%2112000039368243485%21ct%21AU%216138339337%21%212%210
Header Pins,1,$2.54,,https://www.aliexpress.com/item/1005006034877497.html?spm=a2g0o.productlist.main.10.11f92012N9AGjn&algo_pvid=01056414-a579-4c66-8c0f-8c11b43bcf9c&algo_exp_id=01056414-a579-4c66-8c0f-8c11b43bcf9c-9&pdp_ext_f=%7B%22order%22%3A%221565%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21AUD%212.53%212.53%21%21%2111.63%2111.63%21%402103273e17519925834072774e9c9c%2112000035419985198%21sea%21AU%216138339337%21X&curPageLogUid=1HjffVUnlIhg&utparam-url=scene%3Asearch%7Cquery_from%3A
Servo Motor 5V,2,$4.69,,https://www.aliexpress.com/item/1005006572297006.html?spm=a2g0o.productlist.main.7.66d4e9c1BLk6SW&algo_pvid=e72cc098-c504-4e33-aae5-d6b7896ada10&algo_exp_id=e72cc098-c504-4e33-aae5-d6b7896ada10-6&pdp_ext_f=%7B%22order%22%3A%224516%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21AUD%214.69%214.69%21%21%213.01%213.01%21%402101c5bf17519927191303065e98d7%2112000037705759120%21sea%21AU%216138339337%21X&curPageLogUid=bn0XkIYGxz4A&utparam-url=scene%3Asearch%7Cquery_from%3A
M3x10mm Screws,,$2.82,,https://www.aliexpress.com/item/32810852732.html?spm=a2g0o.order_list.order_list_main.28.74441802cg1DM1
M3x16mm Screws,,$3.43,,https://www.aliexpress.com/item/32810852732.html?spm=a2g0o.order_list.order_list_main.28.74441802cg1DM1
M3x6mm Screws,,$2.29,,https://www.aliexpress.com/item/32810852732.html?spm=a2g0o.order_list.order_list_main.28.74441802cg1DM1
M3D5L6 Heatsets,45,$3.82,,https://www.aliexpress.com/item/1005003582355741.html?spm=a2g0o.order_list.order_list_main.45.21221802z3BMxP
M3 Steel Dowels 20mm,4,$2.47,,https://www.aliexpress.com/item/1005003990055624.html?spm=a2g0o.cart.0.0.7c6438da8p7SyB&mp=1&pdp_npi=5%40dis%21AUD%21AUD%202.55%21AUD%202.55%21%21AUD%202.55%21%21%21%402103201917539747613531159ef006%2112000027659580374%21ct%21AU%216138339337%21%211%210
M3 Steel Dowels 12mm,2,$2.41,,https://www.aliexpress.com/item/1005003990055624.html?spm=a2g0o.cart.0.0.7c6438da8p7SyB&mp=1&pdp_npi=5%40dis%21AUD%21AUD%202.55%21AUD%202.55%21%21AUD%202.55%21%21%21%402103201917539747613531159ef006%2112000027659580374%21ct%21AU%216138339337%21%211%210
M4 Steel Dowels 12mm,2,$2.47,,https://www.aliexpress.com/item/1005003990055624.html?spm=a2g0o.cart.0.0.7c6438da8p7SyB&mp=1&pdp_npi=5%40dis%21AUD%21AUD%202.55%21AUD%202.55%21%21AUD%202.55%21%21%21%402103201917539747613531159ef006%2112000027659580374%21ct%21AU%216138339337%21%211%210
M5 Steel Dowels 25mm,2,$3.16,,https://www.aliexpress.com/item/1005003990055624.html?spm=a2g0o.cart.0.0.7c6438da8p7SyB&mp=1&pdp_npi=5%40dis%21AUD%21AUD%202.55%21AUD%202.55%21%21AUD%202.55%21%21%21%402103201917539747613531159ef006%2112000027659580374%21ct%21AU%216138339337%21%211%210
Car Mainboard,1,9.18,$6.90,JLCPCB
Controller Board,1,15.1,$9.87,JLCPCB
3d Printed parts,,,,I aint counting how many there are
LiPo Balance Charger,1,$23.95,,https://www.amazon.com.au/Jinming-Battery-Balance-Charger-Blaster/dp/B07JDG4D8W/ref=sr_1_7?crid=2QSVU4PIMQWEP&dib=eyJ2IjoiMSJ9.egVEYVMdFeiJ7Rp5U0GsW3MPCFjH2JppaEegY-6QF1ybXfPnuH7ehcqwsalxISOPBUoZ68yW8V0V9EmSkjSAxz8C7UdrdUezt6iJ5_6-ePqY1OympOLNnzXOyxJhWJ2sCB3tMHHNAahfemRGOHYjULgd62YWGpVJWYwXsBrbpyq5Tr_IyYgdJclzJoRmBvqXEjzY5W0FZaIy_gxmmjxeAksaYQ1llEEbxFEoMpw1EkxXsO2L39F73PxA1ek0gpCMQTNUQ-N5_VKgioZNR_3n90hGdIGBqGgcM8sjdCRed0g.5tzFgGdyR7y_fjpOhZMOOhIfYhpp-g9E6b3zGECYRn8&dib_tag=se&keywords=zeee+3S+lipo+balance+charger&qid=1752048546&sprefix=zeee3s+lipo+balance+charger%2Caps%2C554&sr=8-7
